"Reference","Value","Footprint","Datasheet","Qty"
"DS1, DS2","LED_IMU","LED_SMD:LED_1206_3216Metric","C2297","2"
"Q1, Q2","PZT2222A","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF","2"
"R5, R6","56","Resistor_SMD:R_1206_3216Metric","C106949","2"
"U1","~","FC_Stack_template:FC_Stack_template","","1"
"U2, U3","D4184","D4184:D4184","","2"
